board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,308,50,1,"[[0.009216589861751152, 0.009216589861751152, 0.009216589861751152, 0.009216589861751152, -1e-05, 0.004608294930875576, -2e-05, 0.0, 0.013824884792626729, 0.013824884792626729], [0.009216589861751152, 0.004608294930875576, 0.004608294930875576, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.018433179723502304, 0.018433179723502304], [0.004608294930875576, 0.009216589861751152, 0.004608294930875576, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013824884792626729, 0.018433179723502304], [0.004608294930875576, 0.009216589861751152, 0.027649769585253458, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.009216589861751152, 0.009216589861751152, -1e-05, 0.004608294930875576, -2e-05, -2e-05, 0.009216589861751152, 0.013824884792626729, 0.004608294930875576], [-1e-05, 0.009216589861751152, 0.009216589861751152, 0.009216589861751152, 0.027649769585253458, 0.004608294930875576, 0.009216589861751152, 0.009216589861751152, 0.018433179723502304, 0.02304147465437788], [-1e-05, -1e-05, 0.018433179723502304, 0.018433179723502304, 0.018433179723502304, 0.027649769585253458, 0.009216589861751152, 0.018433179723502304, 0.009216589861751152, 0.02304147465437788], [-2e-05, -2e-05, 0.02304147465437788, 0.009216589861751152, 0.009216589861751152, 0.009216589861751152, -1e-05, 0.009216589861751152, 0.009216589861751152, 0.02304147465437788], [0.004608294930875576, 0.004608294930875576, 0.009216589861751152, 0.02304147465437788, 0.009216589861751152, 0.018433179723502304, -1e-05, 0.027649769585253458, 0.009216589861751152, 0.009216589861751152], [0.004608294930875576, 0.004608294930875576, 0.004608294930875576, 0.21658986175115208, 0.018433179723502304, -2e-05, -2e-05, -2e-05, 0.009216589861751152, 0.004608294930875576]]"
10_easy_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,90,20,1,"[[0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, -1e-05, -2e-05, -2e-05, 0.0, 0.014084507042253521, 0.028169014084507043], [0.014084507042253521, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.014084507042253521, 0.014084507042253521], [0.0, 0.014084507042253521, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014084507042253521, 0.028169014084507043], [0.0, 0.014084507042253521, 0.028169014084507043, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014084507042253521, 0.014084507042253521, -1e-05, 0.0, -2e-05, -2e-05, 0.014084507042253521, 0.014084507042253521, -1e-05], [-1e-05, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.028169014084507043, 0.0, 0.014084507042253521, 0.014084507042253521, 0.028169014084507043, 0.04225352112676056], [-1e-05, -1e-05, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.028169014084507043, 0.014084507042253521, 0.028169014084507043, 0.014084507042253521, 0.04225352112676056], [-2e-05, -2e-05, 0.028169014084507043, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, -1e-05, 0.014084507042253521, 0.014084507042253521, 0.04225352112676056], [0.0, 0.0, 0.014084507042253521, 0.028169014084507043, 0.014084507042253521, 0.028169014084507043, -1e-05, 0.028169014084507043, 0.014084507042253521, 0.014084507042253521], [0.0, 0.0, 0.0, 0.0, 0.028169014084507043, -2e-05, -2e-05, -2e-05, 0.014084507042253521, 0.0]]"
10_hard_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,799,25,1,"[[0.0036429872495446266, 0.0018214936247723133, 0.01639344262295082, -2e-05, 0.0036429872495446266, 0.00546448087431694, 0.007285974499089253, 0.00546448087431694, 0.007285974499089253, 0.00546448087431694], [0.21311475409836064, 0.007285974499089253, 0.007285974499089253, -1e-05, 0.007285974499089253, -2e-05, 0.007285974499089253, 0.007285974499089253, 0.00546448087431694, 0.0036429872495446266], [0.0036429872495446266, -2e-05, -2e-05, 0.02185792349726776, 0.0018214936247723133, -1e-05, -1e-05, 0.023679417122040074, -2e-05, 0.0036429872495446266], [0.014571948998178506, 0.01639344262295082, -2e-05, -1e-05, -2e-05, 0.018214936247723135, 0.007285974499089253, 0.00546448087431694, 0.00546448087431694, 0.0036429872495446266], [0.03278688524590164, -1e-05, -1e-05, 0.01639344262295082, 0.03278688524590164, 0.03642987249544627, 0.012750455373406194, 0.009107468123861567, 0.0036429872495446266, 0.00546448087431694], [0.03460837887067395, -1e-05, -1e-05, 0.023679417122040074, -2e-05, 0.007285974499089253, 0.009107468123861567, 0.01639344262295082, 0.007285974499089253, 0.0036429872495446266], [0.0018214936247723133, 0.03460837887067395, -1e-05, 0.018214936247723135, -2e-05, 0.007285974499089253, 0.007285974499089253, 0.00546448087431694, 0.007285974499089253, 0.007285974499089253], [0.007285974499089253, 0.01639344262295082, -1e-05, 0.014571948998178506, 0.012750455373406194, 0.007285974499089253, 0.007285974499089253, 0.007285974499089253, 0.0036429872495446266, 0.0036429872495446266], [0.007285974499089253, 0.01639344262295082, -2e-05, 0.0273224043715847, 0.009107468123861567, -2e-05, -2e-05, 0.0036429872495446266, 0.0036429872495446266, 0.0036429872495446266], [0.007285974499089253, 0.007285974499089253, 0.009107468123861567, 0.007285974499089253, -1e-05, 0.01092896174863388, 0.007285974499089253, 0.007285974499089253, 0.007285974499089253, 0.0036429872495446266]]"
10_hard_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,262,24,1,"[[0.005263157894736842, 0.0, 0.015789473684210527, -2e-05, 0.005263157894736842, 0.005263157894736842, 0.010526315789473684, 0.005263157894736842, 0.010526315789473684, 0.005263157894736842], [0.12631578947368421, 0.010526315789473684, 0.010526315789473684, -1e-05, 0.010526315789473684, -2e-05, 0.010526315789473684, 0.010526315789473684, 0.005263157894736842, 0.005263157894736842], [0.005263157894736842, -2e-05, -2e-05, 0.005263157894736842, -1e-05, -1e-05, -1e-05, 0.005263157894736842, -2e-05, 0.005263157894736842], [0.021052631578947368, 0.015789473684210527, -2e-05, -1e-05, -2e-05, 0.015789473684210527, 0.010526315789473684, 0.005263157894736842, 0.005263157894736842, 0.005263157894736842], [0.031578947368421054, -1e-05, -1e-05, 0.021052631578947368, 0.031578947368421054, 0.03684210526315789, 0.015789473684210527, 0.010526315789473684, 0.005263157894736842, 0.005263157894736842], [0.02631578947368421, -1e-05, -1e-05, 0.015789473684210527, -2e-05, 0.010526315789473684, 0.010526315789473684, 0.015789473684210527, 0.010526315789473684, 0.005263157894736842], [-2e-05, 0.02631578947368421, -1e-05, 0.021052631578947368, -2e-05, 0.010526315789473684, 0.010526315789473684, 0.005263157894736842, 0.010526315789473684, 0.010526315789473684], [0.010526315789473684, 0.015789473684210527, -1e-05, 0.021052631578947368, 0.015789473684210527, 0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.005263157894736842, 0.005263157894736842], [0.010526315789473684, 0.015789473684210527, -2e-05, 0.03684210526315789, 0.015789473684210527, -2e-05, -2e-05, 0.005263157894736842, 0.005263157894736842, 0.005263157894736842], [0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.010526315789473684, -1e-05, 0.021052631578947368, 0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.005263157894736842]]"
10_medium_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,7520,33,1,"[[0.00022187708009762592, 0.00022187708009762592, 0.003106279121366763, 0.0033281562014643887, 0.0019968937208786333, 0.0006656312402928778, 0.004215664521854893, 0.0017750166407810074, 0.00022187708009762592, 0.00022187708009762592], [0.00044375416019525185, 0.00022187708009762592, 0.037940980696694035, 0.029509651652984248, 0.0006656312402928778, 0.008209451963612158, 0.00022187708009762592, 0.0017750166407810074, 0.00022187708009762592, 0.00022187708009762592], [0.002440647881073885, 0.002440647881073885, -1e-05, 0.02218770800976259, 0.009540714444197915, -2e-05, 0.0, 0.0017750166407810074, 0.0, 0.00022187708009762592], [0.0179720434879077, 0.0880852007987575, 0.08764144663856224, -1e-05, -1e-05, 0.05524739294430885, 0.021965830929664965, 0.006656312402928777, 0.0008875083203905037, 0.00022187708009762592], [0.0019968937208786333, 0.007543820723319281, 0.0239627246505436, 0.03128466829376526, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0015531395606833815], [0.0015531395606833815, 0.020856445529176836, 0.02551586421122698, 0.06323496782782338, 0.017528289327712446, -1e-05, -2e-05, -2e-05, 0.0017750166407810074, 0.00022187708009762592], [0.005325049922343022, 0.02285333925005547, 0.026403372531617484, -1e-05, 0.026847126691812735, -2e-05, 0.0019968937208786333, 0.0017750166407810074, 0.00022187708009762592, 0.00022187708009762592], [0.0239627246505436, 0.02440647881073885, 0.06012868870645662, 0.041047259818060795, -1e-05, -1e-05, 0.05924118038606612, 0.025293987131129354, 0.018637674728200576, 0.0015531395606833815], [0.00022187708009762592, 0.002662524961171511, 0.007765697803416907, 0.005325049922343022, 0.003106279121366763, -1e-05, 0.005768804082538274, 0.002218770800976259, 0.002884402041269137, 0.0017750166407810074], [0.0019968937208786333, 0.004437541601952518, 0.0011093854004881295, 0.0039937874417572666, 0.002440647881073885, 0.0006656312402928778, -2e-05, 0.0017750166407810074, 0.00022187708009762592, 0.0019968937208786333]]"
10_medium_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,105,53,1,"[[0.0, 0.0, 0.023529411764705882, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.0, 0.0], [0.011764705882352941, 0.0, 0.047058823529411764, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.0, 0.011764705882352941, 0.0, 0.0], [0.011764705882352941, 0.011764705882352941, -1e-05, 0.023529411764705882, 0.011764705882352941, -2e-05, 0.0, 0.011764705882352941, 0.0, 0.0], [0.023529411764705882, 0.023529411764705882, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.011764705882352941, 0.0, 0.0], [0.011764705882352941, 0.011764705882352941, 0.047058823529411764, 0.023529411764705882, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011764705882352941], [0.011764705882352941, 0.023529411764705882, 0.011764705882352941, 0.023529411764705882, 0.023529411764705882, -1e-05, -2e-05, -2e-05, 0.011764705882352941, 0.0], [0.011764705882352941, 0.023529411764705882, 0.058823529411764705, -1e-05, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.0, 0.0], [0.023529411764705882, 0.023529411764705882, 0.023529411764705882, 0.023529411764705882, -1e-05, -1e-05, 0.023529411764705882, 0.023529411764705882, 0.023529411764705882, 0.011764705882352941], [0.0, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.0, 0.011764705882352941, 0.011764705882352941, 0.0, -2e-05, 0.011764705882352941, 0.0, 0.011764705882352941]]"
6_easy_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,66,24,1,"[[0.02127659574468085, -1e-05, 0.02127659574468085, -2e-05, 0.02127659574468085, 0.06382978723404255], [0.02127659574468085, -2e-05, -1e-05, -1e-05, 0.0425531914893617, 0.0425531914893617], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0851063829787234], [-2e-05, 0.2127659574468085, -1e-05, -1e-05, -2e-05, 0.02127659574468085], [-1e-05, 0.02127659574468085, -2e-05, -2e-05, 0.02127659574468085, 0.10638297872340426], [0.0425531914893617, 0.0425531914893617, 0.0425531914893617, 0.0425531914893617, 0.0425531914893617, 0.0851063829787234]]"
6_easy_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,21,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.125], [0.0, -2e-05, -1e-05, -1e-05, 0.0625, 0.0625], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.125], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.1875], [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.125]]"
6_hard_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,773,4,1,"[[0.11741682974559686, -2e-05, 0.009784735812133072, 0.01761252446183953, -1e-05, 0.009784735812133072], [0.007827788649706457, -2e-05, -1e-05, -2e-05, 0.13111545988258316, 0.007827788649706457], [0.015655577299412915, -1e-05, 0.15655577299412915, 0.21135029354207435, 0.01761252446183953, 0.009784735812133072], [0.0019569471624266144, -1e-05, 0.007827788649706457, -2e-05, 0.0136986301369863, 0.011741682974559686], [0.01761252446183953, -1e-05, 0.11154598825831702, 0.019569471624266144, 0.021526418786692758, 0.0136986301369863], [0.025440313111545987, -2e-05, 0.015655577299412915, 0.019569471624266144, -2e-05, 0.007827788649706457]]"
6_hard_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,150,3,1,"[[0.2, -2e-05, 0.021052631578947368, -1e-05, -1e-05, 0.010526315789473684], [0.021052631578947368, -2e-05, -1e-05, -2e-05, 0.05263157894736842, 0.021052631578947368], [0.06315789473684211, -1e-05, 0.05263157894736842, 0.031578947368421054, 0.042105263157894736, 0.031578947368421054], [-2e-05, -1e-05, 0.031578947368421054, -2e-05, 0.031578947368421054, 0.021052631578947368], [0.031578947368421054, -1e-05, 0.08421052631578947, 0.042105263157894736, 0.042105263157894736, 0.031578947368421054], [0.021052631578947368, -2e-05, 0.05263157894736842, 0.042105263157894736, -2e-05, 0.021052631578947368]]"
